iter	Passed	Remaining
0	0	82
1	1	79
2	2	76
3	3	79
4	4	83
5	5	85
6	6	85
7	7	89
8	9	91
9	10	92
10	11	95
11	12	95
12	14	94
13	15	93
14	16	91
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	48	54
47	48	53
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	83	5
94	84	4
95	85	3
96	86	2
97	86	1
98	87	0
99	88	0
