iter	Passed	Remaining
0	141	140888
1	142	71025
2	143	47640
3	144	35977
4	145	28966
5	146	24281
6	147	20945
7	148	18419
8	149	16463
9	150	14887
10	151	13593
11	153	12608
12	154	11707
13	155	10922
14	155	10237
15	156	9641
16	157	9119
17	158	8660
18	159	8246
19	160	7866
20	161	7524
21	162	7215
22	163	6932
23	163	6668
24	164	6433
25	166	6220
26	167	6022
27	168	5835
28	169	5659
29	169	5494
30	170	5339
31	171	5199
32	172	5066
33	173	4935
34	174	4813
35	175	4698
36	176	4585
37	177	4488
38	178	4392
39	179	4297
40	179	4207
41	180	4126
42	181	4046
43	182	3970
44	183	3897
45	184	3827
46	185	3760
47	186	3696
48	187	3635
49	188	3576
50	189	3521
51	190	3466
52	191	3414
53	192	3364
54	193	3316
55	193	3267
56	194	3220
57	195	3176
58	196	3133
59	197	3092
60	198	3052
61	199	3014
62	200	2975
63	201	2940
64	202	2907
65	203	2874
66	203	2840
67	204	2808
68	205	2775
69	206	2744
70	207	2715
71	208	2687
72	209	2658
73	210	2632
74	211	2605
75	212	2579
76	213	2554
77	214	2530
78	214	2505
79	215	2481
80	216	2457
81	217	2434
82	217	2406
83	218	2385
84	219	2363
85	220	2342
86	221	2324
87	222	2305
88	223	2285
89	224	2265
90	224	2246
91	225	2227
92	226	2210
93	227	2193
94	228	2175
95	229	2158
96	229	2140
97	230	2123
98	231	2107
99	232	2092
100	233	2079
101	234	2064
102	235	2050
103	236	2034
104	237	2020
105	237	2005
106	238	1993
107	239	1981
108	240	1968
109	241	1955
110	242	1941
111	243	1928
112	244	1915
113	244	1902
114	245	1891
115	246	1880
116	247	1866
117	248	1855
118	249	1844
119	249	1832
120	250	1821
121	251	1809
122	252	1799
123	253	1789
124	254	1779
125	255	1768
126	255	1757
127	256	1747
128	257	1737
129	258	1728
130	259	1719
131	259	1709
132	260	1699
133	261	1689
134	262	1680
135	263	1670
136	264	1665
137	265	1656
138	266	1647
139	266	1639
140	267	1630
141	268	1620
142	268	1611
143	269	1604
144	270	1596
145	271	1589
146	272	1581
147	273	1573
148	274	1565
149	274	1558
150	275	1550
151	276	1544
152	277	1537
153	278	1530
154	279	1523
155	280	1516
156	281	1509
157	281	1502
158	282	1496
159	283	1489
160	284	1481
161	285	1474
162	285	1467
163	286	1461
164	287	1455
165	288	1450
166	289	1444
167	291	1445
168	292	1439
169	293	1433
170	294	1428
171	295	1423
172	296	1417
173	297	1411
174	298	1405
175	299	1400
176	299	1394
177	300	1388
178	301	1384
179	302	1377
180	303	1372
181	304	1366
182	304	1361
183	305	1356
184	306	1351
185	307	1346
186	308	1341
187	309	1336
188	310	1331
189	311	1326
190	312	1321
191	312	1316
192	313	1312
193	314	1307
194	315	1302
195	316	1298
196	317	1293
197	318	1288
198	319	1284
199	320	1280
200	321	1276
201	321	1271
202	322	1267
203	323	1262
204	324	1258
205	325	1253
206	326	1249
207	326	1244
208	327	1240
209	328	1236
210	329	1232
211	330	1228
212	331	1223
213	332	1219
214	333	1216
215	333	1212
216	334	1208
217	335	1203
218	336	1199
219	337	1195
220	338	1192
221	339	1188
222	340	1184
223	340	1181
224	341	1177
225	342	1173
226	343	1169
227	344	1166
228	345	1162
229	346	1159
230	347	1155
231	348	1152
232	348	1148
233	349	1144
234	350	1141
235	351	1138
236	352	1134
237	353	1130
238	353	1126
239	354	1123
240	355	1119
241	356	1115
242	357	1112
243	357	1108
244	358	1105
245	359	1102
246	360	1098
247	361	1095
248	362	1092
249	362	1088
250	363	1086
251	364	1082
252	365	1079
253	366	1076
254	367	1073
255	368	1069
256	368	1066
257	369	1064
258	370	1061
259	371	1057
260	372	1054
261	373	1051
262	374	1048
263	374	1045
264	376	1044
265	377	1042
266	378	1039
267	379	1036
268	380	1033
269	381	1030
270	382	1027
271	382	1025
272	383	1022
273	384	1019
274	385	1016
275	386	1014
276	387	1011
277	388	1008
278	389	1006
279	390	1003
280	391	1000
281	392	998
282	392	995
283	393	992
284	394	989
285	395	987
286	396	985
287	397	982
288	398	979
289	398	976
290	399	974
291	400	971
292	401	969
293	402	967
294	403	964
295	404	962
296	405	959
297	406	957
298	407	955
299	408	952
300	409	950
301	409	947
302	410	945
303	411	942
304	412	939
305	413	937
306	414	935
307	415	932
308	415	929
309	416	927
310	417	924
311	418	922
312	419	919
313	420	917
314	420	915
315	421	913
316	422	910
317	423	908
318	424	905
319	424	903
320	425	900
321	426	898
322	427	896
323	428	894
324	429	891
325	430	889
326	430	886
327	432	885
328	433	883
329	433	880
330	434	878
331	435	876
332	436	874
333	437	871
334	437	869
335	438	867
336	439	865
337	440	862
338	441	860
339	442	858
340	442	856
341	443	853
342	445	852
343	445	850
344	446	848
345	447	846
346	448	843
347	449	841
348	450	839
349	450	837
350	451	835
351	452	833
352	453	831
353	454	828
354	454	826
355	455	824
356	456	822
357	457	820
358	458	818
359	459	816
360	460	814
361	461	812
362	462	810
363	462	808
364	463	807
365	464	805
366	465	803
367	466	801
368	467	799
369	468	797
370	469	795
371	470	793
372	470	791
373	471	789
374	472	787
375	473	786
376	474	784
377	475	782
378	476	780
379	477	778
380	478	776
381	479	774
382	479	773
383	480	770
384	481	769
385	482	767
386	483	765
387	484	763
388	484	761
389	485	759
390	486	757
391	487	756
392	488	754
393	489	752
394	490	750
395	491	749
396	492	747
397	492	745
398	493	743
399	494	742
400	495	740
401	496	738
402	497	736
403	498	735
404	499	733
405	500	731
406	501	729
407	501	728
408	502	726
409	503	724
410	504	723
411	505	721
412	506	719
413	507	718
414	508	716
415	509	714
416	510	713
417	511	711
418	512	710
419	513	708
420	514	707
421	515	705
422	516	703
423	517	702
424	517	700
425	518	699
426	519	697
427	520	696
428	521	694
429	522	692
430	523	690
431	524	689
432	525	687
433	526	686
434	527	684
435	528	683
436	529	681
437	529	679
438	530	678
439	531	676
440	532	675
441	533	673
442	534	671
443	535	670
444	535	668
445	536	666
446	537	664
447	538	663
448	539	661
449	539	659
450	540	658
451	541	656
452	541	654
453	542	652
454	543	651
455	544	649
456	545	648
457	546	647
458	547	645
459	548	644
460	549	642
461	550	641
462	551	639
463	552	637
464	552	636
465	553	634
466	554	632
467	555	631
468	555	629
469	557	628
470	557	626
471	558	624
472	559	623
473	560	621
474	560	619
475	561	618
476	562	616
477	563	615
478	564	613
479	565	612
480	565	610
481	566	609
482	567	607
483	568	605
484	569	604
485	570	603
486	571	601
487	571	600
488	572	598
489	573	596
490	574	595
491	575	593
492	576	592
493	576	590
494	577	589
495	578	587
496	579	586
497	579	584
498	580	582
499	581	581
500	582	579
501	583	578
502	583	576
503	584	575
504	585	574
505	586	572
506	587	571
507	588	570
508	589	569
509	591	567
510	591	566
511	592	565
512	593	563
513	594	562
514	595	560
515	596	559
516	597	557
517	597	556
518	598	554
519	599	553
520	600	552
521	601	550
522	602	549
523	602	547
524	603	546
525	604	544
526	605	543
527	605	541
528	607	540
529	607	539
530	608	537
531	609	536
532	610	534
533	610	533
534	611	531
535	612	530
536	613	529
537	614	527
538	615	526
539	616	524
540	616	523
541	617	521
542	618	520
543	619	519
544	620	517
545	621	516
546	621	515
547	622	513
548	623	512
549	624	510
550	625	509
551	625	508
552	626	506
553	627	505
554	628	503
555	629	502
556	630	501
557	630	499
558	631	498
559	632	497
560	633	495
561	634	494
562	634	492
563	635	491
564	636	489
565	637	488
566	637	487
567	638	485
568	640	484
569	641	483
570	641	482
571	642	480
572	643	479
573	644	478
574	645	476
575	646	475
576	646	474
577	647	472
578	648	471
579	649	470
580	649	468
581	650	467
582	651	465
583	652	464
584	653	463
585	653	461
586	654	460
587	655	459
588	656	457
589	657	456
590	658	455
591	658	454
592	659	452
593	660	451
594	661	449
595	661	448
596	662	447
597	663	445
598	664	444
599	665	443
600	665	442
601	666	440
602	667	439
603	668	437
604	668	436
605	669	435
606	670	434
607	671	432
608	672	431
609	672	430
610	673	428
611	674	427
612	675	426
613	675	424
614	676	423
615	677	422
616	678	421
617	679	419
618	679	418
619	680	417
620	681	415
621	682	414
622	683	413
623	684	412
624	685	411
625	685	409
626	686	408
627	687	407
628	688	405
629	688	404
630	689	403
631	690	402
632	691	400
633	692	399
634	693	398
635	693	397
636	694	395
637	695	394
638	696	393
639	697	392
640	698	390
641	698	389
642	699	388
643	700	387
644	701	385
645	702	384
646	702	383
647	703	382
648	704	380
649	705	379
650	705	378
651	706	377
652	707	375
653	708	374
654	709	373
655	710	372
656	711	371
657	711	369
658	712	368
659	713	367
660	714	366
661	715	365
662	716	363
663	716	362
664	717	361
665	718	360
666	719	359
667	719	357
668	720	356
669	721	355
670	722	354
671	723	353
672	724	351
673	724	350
674	725	349
675	726	348
676	727	347
677	728	345
678	729	344
679	729	343
680	730	342
681	731	340
682	732	339
683	732	338
684	733	337
685	734	336
686	735	334
687	736	333
688	736	332
689	737	331
690	738	330
691	739	328
692	740	327
693	741	326
694	742	325
695	743	324
696	743	323
697	744	322
698	745	321
699	746	320
700	747	318
701	748	317
702	749	316
703	749	315
704	750	314
705	751	312
706	752	311
707	753	310
708	754	309
709	754	308
710	755	307
711	756	306
712	757	305
713	759	304
714	760	302
715	760	301
716	761	300
717	762	299
718	762	298
719	763	297
720	764	295
721	765	294
722	766	293
723	767	292
724	768	291
725	768	290
726	769	289
727	770	287
728	771	286
729	772	285
730	773	284
731	774	283
732	774	282
733	775	281
734	776	279
735	777	278
736	778	277
737	778	276
738	779	275
739	780	274
740	781	273
741	781	271
742	782	270
743	783	269
744	784	268
745	785	267
746	785	266
747	786	265
748	787	263
749	788	262
750	788	261
751	789	260
752	790	259
753	791	258
754	792	257
755	792	255
756	793	254
757	794	253
758	795	252
759	796	251
760	797	250
761	797	249
762	798	248
763	799	246
764	800	245
765	800	244
766	801	243
767	802	242
768	803	241
769	804	240
770	805	239
771	805	238
772	806	236
773	807	235
774	808	234
775	809	233
776	810	232
777	810	231
778	811	230
779	812	229
780	813	228
781	813	226
782	814	225
783	815	224
784	816	223
785	817	222
786	818	221
787	818	220
788	819	219
789	820	218
790	821	216
791	821	215
792	822	214
793	823	213
794	824	212
795	825	211
796	825	210
797	826	209
798	827	208
799	828	207
800	829	206
801	830	204
802	830	203
803	831	202
804	832	201
805	833	200
806	834	199
807	834	198
808	835	197
809	836	196
810	837	195
811	838	194
812	838	192
813	839	191
814	841	190
815	842	189
816	842	188
817	843	187
818	844	186
819	845	185
820	845	184
821	846	183
822	847	182
823	848	181
824	849	180
825	849	179
826	850	177
827	851	176
828	852	175
829	853	174
830	854	173
831	855	172
832	855	171
833	856	170
834	857	169
835	858	168
836	860	167
837	861	166
838	862	165
839	863	164
840	864	163
841	866	162
842	867	161
843	868	160
844	869	159
845	871	158
846	872	157
847	873	156
848	874	155
849	875	154
850	876	153
851	878	152
852	879	151
853	880	150
854	881	149
855	883	148
856	884	147
857	886	146
858	887	145
859	888	144
860	889	143
861	890	142
862	891	141
863	892	140
864	893	139
865	894	138
866	895	137
867	896	136
868	898	135
869	899	134
870	900	133
871	902	132
872	903	131
873	905	130
874	906	129
875	907	128
876	908	127
877	909	126
878	911	125
879	912	124
880	913	123
881	915	122
882	916	121
883	918	120
884	919	119
885	920	118
886	922	117
887	923	116
888	924	115
889	925	114
890	927	113
891	928	112
892	929	111
893	930	110
894	931	109
895	933	108
896	934	107
897	935	106
898	936	105
899	937	104
900	938	103
901	939	102
902	940	101
903	941	100
904	942	98
905	944	97
906	945	96
907	946	95
908	947	94
909	948	93
910	950	92
911	951	91
912	953	90
913	954	89
914	956	88
915	958	87
916	960	86
917	961	85
918	962	84
919	963	83
920	965	82
921	966	81
922	968	80
923	969	79
924	972	78
925	973	77
926	974	76
927	975	75
928	976	74
929	978	73
930	979	72
931	980	71
932	981	70
933	983	69
934	984	68
935	985	67
936	986	66
937	987	65
938	988	64
939	989	63
940	990	62
941	991	61
942	992	60
943	993	58
944	995	57
945	996	56
946	997	55
947	998	54
948	999	53
949	1000	52
950	1001	51
951	1002	50
952	1003	49
953	1004	48
954	1005	47
955	1006	46
956	1008	45
957	1009	44
958	1010	43
959	1010	42
960	1011	41
961	1012	40
962	1014	38
963	1015	37
964	1016	36
965	1017	35
966	1018	34
967	1019	33
968	1020	32
969	1022	31
970	1023	30
971	1024	29
972	1024	28
973	1025	27
974	1027	26
975	1028	25
976	1029	24
977	1030	23
978	1031	22
979	1033	21
980	1034	20
981	1035	18
982	1036	17
983	1037	16
